year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202602,google / organic,69514,49364,1476,104513.64,45969
202603,google / organic,69497,50031,1141,86031.71,46329
202605,google / organic,60419,43644,1343,92953.15,40327
202604,google / organic,54941,39575,848,64511.99,37358
202601,google / organic,52073,36602,1073,79793.22,35499
202507,google / organic,45088,28994,390,41615.68,26528
202509,google / organic,42859,28000,530,49141.54,24253
202603,(direct) / (none),42842,27955,449,28478.89,36040
202508,google / organic,41449,26481,388,42327.23,23935
202602,(direct) / (none),41439,25719,532,33510.55,33567
202606,google / organic,38545,26867,896,65781.43,25005
202601,(direct) / (none),37563,23343,466,28249.77,31187
202605,(direct) / (none),37101,21975,470,27919.81,31195
202511,google / cpc,35016,25284,477,39367.97,23821
202604,(direct) / (none),33075,21247,339,18877.34,27598
202510,google / organic,26269,17105,268,26717.35,15991
202601,(not set),23634,1703,166,13045.38,21734
202510,google / cpc,23062,16622,252,22829.46,15787
202606,(direct) / (none),21806,12210,307,18730.7,19124
202511,google / organic,19663,12621,193,16583.65,12311
202508,facebook / ppc,16591,9344,8,1284.18,12434
202509,facebook / ppc,16496,9652,16,1280.45,12334
202603,(not set),15796,4202,250,20635.29,13480
202604,(not set),14833,4544,217,15458.09,12473
202507,facebook / ppc,14268,8105,15,1637.37,10880
202605,(not set),13863,3642,316,22770.77,11259
202510,facebook / ppc,13513,7383,12,939.18,9642
202506,google / organic,12943,8799,121,11724.08,8501
202606,(not set),12918,2474,296,20842.72,10880
202602,(not set),11583,3491,240,18618.0,9523
202511,facebook / ppc,11349,5183,20,1496.75,8092
202602,facebook / ppc,11300,5184,142,9481.88,6721
202511,(direct) / (none),9549,5953,121,7259.88,6514
202507,google / cpc,9356,6248,32,2847.14,7125
202603,facebook / ppc,9325,4455,93,6718.04,5576
202602,google / cpc,9248,6442,235,17591.56,6354
202601,google / cpc,9241,5307,137,10384.7,5625
202507,(direct) / (none),9048,5892,105,8568.6,6334
202508,google / cpc,8412,5843,42,3748.57,6444
202509,(direct) / (none),7704,5388,139,10045.44,5723
202508,(direct) / (none),7548,5110,110,8181.42,5531
202603,google / cpc,7355,5127,130,10007.74,5322
202605,facebook / ppc,7337,3175,94,5963.09,4314
202510,(direct) / (none),6773,4251,111,6039.58,4654
202602,sendcloud / email,6718,2834,0,0.0,3106
202509,google / cpc,6626,4688,67,4590.36,4777
202604,facebook / ppc,6507,3027,52,4006.66,3896
202511,facebook / paid,5881,2930,9,615.35,5015
202603,sendcloud / email,5393,2449,0,0.0,2284
202601,facebook / ppc,5262,2202,70,4859.01,3497
202606,facebook / ppc,5016,1907,74,4997.86,3031
202604,google / cpc,4642,3196,78,5616.59,3191
202511,l.instagram.com / referral,4379,3655,20,1909.36,4119
202506,facebook / ppc,4234,2253,2,118.09,3455
202601,sendcloud / email,4056,1689,0,0.0,2067
202506,(direct) / (none),4031,2686,48,4957.48,2861
202510,(not set),3425,0,2,127.64,3463
202508,(not set),3238,1,8,826.23,3225
202506,google / cpc,3040,2109,14,1449.62,2414
202512,google / cpc,2533,1653,57,4710.33,1323
202603,Klaviyo / email,2465,1351,43,3365.36,1348
202512,facebook / ppc,2345,664,9,998.78,1479
202606,google / cpc,2081,1150,60,4519.69,1540
202511,(not set),2027,531,21,2147.39,1897
202512,google / organic,1935,1052,32,2389.91,916
202605,facebook / paid,1847,741,29,1981.89,1042
202507,l.instagram.com / referral,1830,1538,3,324.64,1707
202605,Klaviyo / email,1768,856,31,2562.6,939
202605,google / cpc,1678,1148,38,2354.65,1180
202508,l.instagram.com / referral,1508,1328,6,710.98,1433
202507,(not set),1455,289,5,374.84,1368
202509,(not set),1404,282,13,1288.35,1298
202604,Klaviyo / email,1305,607,11,624.69,669
